id,source,title,year,venue,doi,url,pdf_url,citations,authors
http://arxiv.org/abs/2412.06818v1,arxiv,A Study on Quantum Neural Networks in Healthcare 5.0,2024,arXiv,,http://arxiv.org/abs/2412.06818v1,http://arxiv.org/pdf/2412.06818v1,,Sanjay Chakraborty
http://arxiv.org/abs/2310.00727v1,arxiv,Review of deep learning in healthcare,2023,arXiv,,http://arxiv.org/abs/2310.00727v1,http://arxiv.org/pdf/2310.00727v1,,Hasan Hejbari Zargar; Saha Hejbari Zargar; Raziye Mehri
http://arxiv.org/abs/2306.00698v2,arxiv,"Prediction of Post-Operative Renal and Pulmonary Complications Using
  Transformers",2023,arXiv,,http://arxiv.org/abs/2306.00698v2,http://arxiv.org/pdf/2306.00698v2,,Reza Shirkavand; Fei Zhang; Heng Huang
http://arxiv.org/abs/2209.09642v1,arxiv,"A Secure Healthcare 5.0 System Based on Blockchain Technology Entangled
  with Federated Learning Technique",2022,arXiv,,http://arxiv.org/abs/2209.09642v1,http://arxiv.org/pdf/2209.09642v1,,Abdur Rehman; Sagheer Abbas; M. A. Khan; Taher M. Ghazal; Khan Muhammad Adnan; Amir Mosavi
http://arxiv.org/abs/2502.07026v2,arxiv,"Machine Learning for Everyone: Simplifying Healthcare Analytics with
  BigQuery ML",2025,arXiv,,http://arxiv.org/abs/2502.07026v2,http://arxiv.org/pdf/2502.07026v2,,Mohammad Amir Salari; Bahareh Rahmani
http://arxiv.org/abs/2409.07415v2,arxiv,SoK: Security and Privacy Risks of Healthcare AI,2024,arXiv,,http://arxiv.org/abs/2409.07415v2,http://arxiv.org/pdf/2409.07415v2,,Yuanhaur Chang; Han Liu; Chenyang Lu; Ning Zhang
http://arxiv.org/abs/2401.07368v1,arxiv,"A Novel Zero-Trust Machine Learning Green Architecture for Healthcare
  IoT Cybersecurity: Review, Analysis, and Implementation",2024,arXiv,,http://arxiv.org/abs/2401.07368v1,http://arxiv.org/pdf/2401.07368v1,,Zag ElSayed; Nelly Elsayed; Sajjad Bay
10.1201/9781003473435-1,crossref,AI and Machine Learning in Modern Healthcare,2024,Transforming Gender-Based Healthcare with AI and Machine Learning,10.1201/9781003473435-1,https://doi.org/10.1201/9781003473435-1,,,Sharad Chauhan; Mrinal Paliwal; Nandita Manchanda; Meenu Gupta
http://arxiv.org/abs/2307.14067v1,arxiv,"Machine Learning Applications In Healthcare: The State Of Knowledge and
  Future Directions",2023,arXiv,,http://arxiv.org/abs/2307.14067v1,http://arxiv.org/pdf/2307.14067v1,,Mrinmoy Roy; Sarwar J. Minar; Porarthi Dhar; A T M Omor Faruq
http://arxiv.org/abs/2312.05530v2,arxiv,Towards Smart Healthcare: Challenges and Opportunities in IoT and ML,2023,arXiv,,http://arxiv.org/abs/2312.05530v2,http://arxiv.org/pdf/2312.05530v2,,Munshi Saifuzzaman; Tajkia Nuri Ananna
