id,source,title,year,venue,doi,url,pdf_url,citations,authors
http://arxiv.org/abs/2409.07415v2,arxiv,SoK: Security and Privacy Risks of Healthcare AI,2024,arXiv,,http://arxiv.org/abs/2409.07415v2,http://arxiv.org/pdf/2409.07415v2,,Yuanhaur Chang; Han Liu; Chenyang Lu; Ning Zhang
http://arxiv.org/abs/2401.07368v1,arxiv,"A Novel Zero-Trust Machine Learning Green Architecture for Healthcare
  IoT Cybersecurity: Review, Analysis, and Implementation",2024,arXiv,,http://arxiv.org/abs/2401.07368v1,http://arxiv.org/pdf/2401.07368v1,,Zag ElSayed; Nelly Elsayed; Sajjad Bay
http://arxiv.org/abs/2412.06818v1,arxiv,A Study on Quantum Neural Networks in Healthcare 5.0,2024,arXiv,,http://arxiv.org/abs/2412.06818v1,http://arxiv.org/pdf/2412.06818v1,,Sanjay Chakraborty
10.1201/9781003473435-1,crossref,AI and Machine Learning in Modern Healthcare,2024,Transforming Gender-Based Healthcare with AI and Machine Learning,10.1201/9781003473435-1,https://doi.org/10.1201/9781003473435-1,,,Sharad Chauhan; Mrinal Paliwal; Nandita Manchanda; Meenu Gupta
http://arxiv.org/abs/2307.14067v1,arxiv,"Machine Learning Applications In Healthcare: The State Of Knowledge and
  Future Directions",2023,arXiv,,http://arxiv.org/abs/2307.14067v1,http://arxiv.org/pdf/2307.14067v1,,Mrinmoy Roy; Sarwar J. Minar; Porarthi Dhar; A T M Omor Faruq
http://arxiv.org/abs/2312.05530v2,arxiv,Towards Smart Healthcare: Challenges and Opportunities in IoT and ML,2023,arXiv,,http://arxiv.org/abs/2312.05530v2,http://arxiv.org/pdf/2312.05530v2,,Munshi Saifuzzaman; Tajkia Nuri Ananna
http://arxiv.org/abs/2308.02877v2,arxiv,Meta-learning in healthcare: A survey,2023,arXiv,,http://arxiv.org/abs/2308.02877v2,http://arxiv.org/pdf/2308.02877v2,,Alireza Rafiei; Ronald Moore; Sina Jahromi; Farshid Hajati; Rishikesan Kamaleswaran
http://arxiv.org/abs/2303.15563v1,arxiv,"Privacy-preserving machine learning for healthcare: open challenges and
  future perspectives",2023,arXiv,,http://arxiv.org/abs/2303.15563v1,http://arxiv.org/pdf/2303.15563v1,,Alejandro Guerra-Manzanares; L. Julian Lechuga Lopez; Michail Maniatakos; Farah E. Shamout
http://arxiv.org/abs/2310.00727v1,arxiv,Review of deep learning in healthcare,2023,arXiv,,http://arxiv.org/abs/2310.00727v1,http://arxiv.org/pdf/2310.00727v1,,Hasan Hejbari Zargar; Saha Hejbari Zargar; Raziye Mehri
http://arxiv.org/abs/2306.00698v2,arxiv,"Prediction of Post-Operative Renal and Pulmonary Complications Using
  Transformers",2023,arXiv,,http://arxiv.org/abs/2306.00698v2,http://arxiv.org/pdf/2306.00698v2,,Reza Shirkavand; Fei Zhang; Heng Huang
http://arxiv.org/abs/2310.09650v2,arxiv,Multimodal Federated Learning in Healthcare: a Review,2023,arXiv,,http://arxiv.org/abs/2310.09650v2,http://arxiv.org/pdf/2310.09650v2,,Jacob Thrasher; Alina Devkota; Prasiddha Siwakotai; Rohit Chivukula; Pranav Poudel; Chaunbo Hu; Binod Bhattarai; Prashnna Gyawali
http://arxiv.org/abs/2206.14397v3,arxiv,Fair Machine Learning in Healthcare: A Review,2022,arXiv,,http://arxiv.org/abs/2206.14397v3,http://arxiv.org/pdf/2206.14397v3,,Qizhang Feng; Mengnan Du; Na Zou; Xia Hu
http://arxiv.org/abs/2209.09642v1,arxiv,"A Secure Healthcare 5.0 System Based on Blockchain Technology Entangled
  with Federated Learning Technique",2022,arXiv,,http://arxiv.org/abs/2209.09642v1,http://arxiv.org/pdf/2209.09642v1,,Abdur Rehman; Sagheer Abbas; M. A. Khan; Taher M. Ghazal; Khan Muhammad Adnan; Amir Mosavi
10.1201/9781003189053-1,crossref,Machine Learning in Healthcare,2022,Machine Learning and Deep Learning in Efficacy Improvement of Healthcare Systems,10.1201/9781003189053-1,https://doi.org/10.1201/9781003189053-1,,,Shruti Dambhare; Sanjay Kumar
10.1201/9781003227595-3,crossref,Intelligent Learning Analytics in the Healthcare Sector Using Machine Learning and IoT,2022,"Machine Learning, Deep Learning, Big Data, and Internet of Things for Healthcare",10.1201/9781003227595-3,https://doi.org/10.1201/9781003227595-3,,,Kundankumar Rameshwar Saraf; P. Malathi
http://arxiv.org/abs/2102.03717v1,arxiv,"Assessing Fairness in Classification Parity of Machine Learning Models
  in Healthcare",2021,arXiv,,http://arxiv.org/abs/2102.03717v1,http://arxiv.org/pdf/2102.03717v1,,Ming Yuan; Vikas Kumar; Muhammad Aurangzeb Ahmad; Ankur Teredesai
http://arxiv.org/abs/2106.03468v1,arxiv,"On Healthcare Robots: Concepts, definitions, and considerations for
  healthcare robot governance",2021,arXiv,,http://arxiv.org/abs/2106.03468v1,http://arxiv.org/pdf/2106.03468v1,,Eduard Fosch-Villaronga; Hadassah Drukarch
10.1201/9781003185246-6,crossref,Machine Learning Approaches for Analysis in Healthcare Informatics,2021,Machine Learning and Analytics in Healthcare Systems,10.1201/9781003185246-6,https://doi.org/10.1201/9781003185246-6,,,K. Jagadeesh; A. Rajendran
10.1007/978-981-16-0811-7_11,crossref,Correction to: Artificial Intelligence and Machine Learning in Healthcare,2021,Artificial Intelligence and Machine Learning in Healthcare,10.1007/978-981-16-0811-7_11,https://doi.org/10.1007/978-981-16-0811-7_11,,,Ankur Saxena; Shivani Chandra
10.1002/9781119792611.ch1,crossref,Innovation on Machine Learning in Healthcare Services–An Introduction,2021,Machine Learning for Healthcare Applications,10.1002/9781119792611.ch1,https://doi.org/10.1002/9781119792611.ch1,,,Parthasarathi Pattnayak; Om Prakash Jena
